name,symptoms
Полиомиелит,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Более частой формой является полиомиелит без развития параличей. Он может проявляться следующей симптоматикой:
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <ul>
  <li>
   температура, головная боль, рвота
  </li>
  <li>
   слабость в мышцах или и напряженность мышц шеи и спины (выражены в течение всего периода лихорадки);
  </li>
  <li>
   затрудненное глотание
  </li>
  <li>
   температура держится три дня и более.
  </li>
 </ul>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  После нескольких недель существования такой симптоматики больной полностью выздоравливает.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Худший прогноз возможен при паралитической форме поражения ЦНС, когда появившиеся боли в конечностях и спине сменяются параличами отдельных мышц туловища, конечностей, шеи, т.е. их выраженной слабостью и неспособностью к произвольному движению. Обычно страдает только часть одной из конечностей, но иногда паралич распространяется в восходящем направлении на мышцы, иннервируемые продолговатым мозгом. Возможен летальный исход вследствие паралича дыхательных мышц или мышц глотки. Выраженность паралича достигает максимума в течение одной недели, после чего более чем у половины больных постепенно происходит полное восстановление функции мышц. Однако около 1/4 больных паралитической формой полиомиелита остаются инвалидами.
 </p>
</div>
"
Простуда,
Птичий грипп,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Клиническая картина птичьего гриппа отличатся большой вариабельностью, при этом обычно заболевание сопровождается тяжелой дыхательной недостаточностью и развитием вирусной пневмонии, которые и обуславливают тяжесть заболевания.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инкубационный период длится от 2 до 8 дней. Первоначальные симптомы схожи с обычным гриппом: боли в мышцах, насморк, кашель, иногда диарея, рвота, боль в области живота и груди и кровотечения из носа и десен. У пациентов, инфицированных вирусом H5N1, происходит быстрое клиническое ухудшение. Период между появлением симптомов болезни и развитием острой дыхательной недостаточности составлял около шести дней. В общей сложности более половины всех лабораторно подтвержденных случаев заболевания закончились смертельным исходом.
 </p>
</div>
"
Рожа,
Ротавирусная инфекция,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  После внедрения вируса в организм проходит инкубационный период, который может продолжаться от 1 до 5 суток. В это время человек не испытывает никаких симптомов.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Первые проявления заболевания — тошнота и рвота. У некоторых больных одновременно возникает жидкий стул. Позывы происходят часто, неожиданно, они очень сильные. Стул становится водянистым и приобретает желтый или желто-зеленый цвет. В самых легких случаях стул бывает 1-2 раза в сутки и имеет кашицеобразную консистенцию.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Возникают схваткообразные боли в верхней части живота или вокруг пупка. В животе возникает урчание, которое слышно на расстоянии. Нарушается общее состояние больного, оно напоминает простуду: поднимается температура тела (до 38⁰С), появляется слабость, вялость. Иногда отмечается заложенность носа. Язык обложен.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Во время рвоты и диареи больные с ротавирусной инфекцией теряют жидкость. Может развиваться обезвоживание: при этом состояние больного ухудшается, его кожа становится бледной, сухой, под глазами появляются синяки, черты лица заостряются. Это особенно опасно для ребенка. Необходима срочная помощь врача.
 </p>
</div>
"
Сибирская язва,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инкубационный период, то есть время от момента заражения до появления первых признаков, составляет от нескольких часов до недели. Как правило, этот период длится 2-3 дня.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Выделяют
  <strong>
   кишечную, легочную, кожную формы.
  </strong>
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   Кожная форма
  </strong>
  сибирской язвы в свою очередь подразделяется на эризепелоидную, буллезную, карбункулезную и эдематозную разновидность.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Наиболее распространенной является карбункулезная форма. Для нее характерны изменения кожи в месте внедрения инфекции. В начале в этой области возникает красное, приподнятое над уровнем кожи пятно. Затем на его месте образуется пузырек, постепенно трансформирующийся в язву. Все эти превращения занимают всего несколько часов.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Пациенты жалуются на боль и жжение в месте образования язвы.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Постепенно вокруг язвы появляются новые пузырьки, за счет чего дефект кожи увеличивается в размерах.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Так же наблюдаются симптомы общей интоксикации повышение температуры тела, слабость, сонливость, головная боль.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  <strong>
   Легочная форма
  </strong>
  начинается остро с сильного озноба, высокой температуры тела, покраснения глаз, чихания, кашля, насморка. Заболевание протекает очень тяжело и может заканчиваться летально.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Для
  <strong>
   кишечной формы
  </strong>
  заболевания характерны боли в области желудка, понос, рвота и общая интоксикация. Живот вздут, болезненный при пальпации. Пациент так же может погибнуть от инфекционно-токсического шока.
 </p>
</div>
"
Сифилис,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инкубационный период составляет в среднем около 3-6 недель. Первым признаком болезни является образование на месте контакта твердого шанкра безболезненной плотной округлой язвы диаметром 0,5-2 см, с гладким, блестящим дном. Такие язвы обычно не кровоточат и не склонны к слиянию. В течение первой недели после появления твердого шанкра увеличиваются лимфатические узлы пораженной области (возникает регионарный лимфаденит). Этот период болезни называется первичным сифилисом. Иногда первичных очагов может вообще не быть, или они находятся на внутренних половых органах (например, на стенке влагалища у женщин), что значительно затрудняет диагностику.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Сифилитическая язва может вторично инфицироваться. Этот процесс сопровождается выраженной отечностью, покраснением в области шанкра, с поверхности язвы может отделяться гной. При анализе отделяемого из области язвы не всегда можно выделить бледную трепонему, из-за чего можно ошибочно сделать вывод об отсутствии сифилиса.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Примерно через 2-3 месяца от момента заражения, когда на коже и слизистых появляется генерализованная сыпь, можно говорить о переходе болезни во вторичный период. К этому времени первичные очаги, как правило, исчезают, оставляя после себя рубцовые изменения. Кожные проявления вторичного сифилиса обусловлены сосудистыми изменениями в глубоких слоях кожи. Сыпь локализуется на туловище, конечностях, на лице, а также на ладонях и подошвах. Высыпания могут быть пятнистыми, пузырьковыми или пустулезными и имеют темно-красную окраску, которая с течением времени бледнеет. Очаги высыпания формируются на неизмененном фоне, отдельные элементы к слиянию не склонны. Очень редко появление сыпи сопровождается зудом.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При анализе соскоба из вторичных сифилидов обнаруживается бледная трепонема, что говорит об их заразности. В 10% случаев происходит разрастание элементов на слизистых оболочках, под молочными железами, в области подмышечных впадин, заднего прохода; затем они начинают мокнуть. Это так называемые широкие кондиломы, для которых характерна высокая степень заразности.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Появление сыпи иногда сопровождается легким недомоганием, болью в горле, небольшим повышением температуры. Длительность вторичного периода болезни составляет несколько дней. Без лечения заболевание переходит в латентную (бессимптомную) форму.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Больной латентной формой сифилиса остается заразным, возможна также передача инфекции от матери к плоду. В этот период, который может длиться несколько лет или даже всю жизнь, в крови обнаруживаются антитела к возбудителю болезни.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Примерно у 30% больных заболевание переходит в третичный период, который характеризуется тяжелым деструктивным поражением внутренних органов и систем. Третичные сифилиды (гуммы) на коже представляют собой единичные безболезненные плотные бугорки, захватывающие самые глубокие слои кожи и подкожно-жировой слой. В центре гуммы нередко образует участок некроза с последующим формированием грубого втянутого рубца. Точно такие же гуммы могут появляться в любом внутреннем органе. Чаще всего в процесс вовлекаются костно-хрящевая ткань и нервная система. В первом случае образуются отверстия в твердом и мягком небе, хрящах носа и гортани.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Инфицирование нервной системы (нейросифилис) приводит к появлению симптомов поражения мозговых оболочек, развитию парезов и параличей, а также нарушениям психики. Образование гумм в сердечно-сосудистой системе чревато развитием аневризм, воспалением стенки аорты, сужением сосудов сердца.
 </p>
</div>
"
СПИД,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Ранние симптомы ВИЧ: увеличенные лимфатические узлы, гриппоподобные заболевания (с кашлем, температурой, потерей аппетита, ломотой в теле, усталостью, слабостью). Носитель ВИЧ очень заразен, даже если у него нет симптомов инфекции.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Поздние симптомы ВИЧ (спустя годы после заражения): постоянные ночные поты и подъемы температуры, хроническая усталость, необъяснимая потеря веса или потеря аппетита. Затяжная диарея. Увеличенные лимфатические узлы. Темно-красные опухолевидные образования на коже, а также в полости рта и носа. Частые респираторные инфекции, поверхностное дыхание или сухой кашель.
 </p>
</div>
"
Стафилококковая пиодермия,
Столбняк,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Неподвижность челюсти спазм жевательных мышц, сопровождающийся спазмом шеи, затрудненным глотанием, напряженностью мышц брюшного пресса, спазмами, испариной и повышенной температурой.
 </p>
</div>
"
Токсоплазмоз,
Уреаплазмоз,
Урогенитальный хламидиоз,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Пациенты могут жаловаться на выделения из уретры (мужчины), влагалища (женщины) белого, желтого цвета или прозрачные. От нормальных выделений они могут отличаться неприятным запахом или желтоватым оттенком. Иногда возникает болезненность, жжение при мочеиспускании или половом акте, покраснения и зуд у наружного отверстия мочеиспускательного канала.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  При развитии осложнений больные жалуются на боли в области промежности, мошонки, прямой кишки, женщин беспокоят боли внизу живота, в области поясницы.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Хламидиоз отличается от многих других инфекций, передающихся половым путем тем, что он поражает не только половые органы, но и нижние отделы мочевыделительной системы. Клиническая картина часто стертая, заболевание может длительно протекать бессимптомно и диагностироваться только при развитии осложнений.
 </p>
</div>
"
Холера,"<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  В некоторых случаях при холере вообще не отмечают никаких симптомов заболевания, а около 90% пациентов все же ощущают легкий или умеренно выраженный дискомфорт.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  К основным симптомам относится жидкий стул (диарея), который чаще всего возникает внезапно. К симптомам заболевания также можно отнести рвоту, боли в животе и судороги в ногах. Так как из-за диареи человек теряет много жидкости, может быть чувство жажды, усталости и головокружение.
 </p>
</div>
<div class=""article__item article__item_alignment_left article__item_text article__item_html"">
 <p>
  Примерно один из 20 больных холерой страдает тяжелой формой заболевания, которая отличается острой степенью диареи, что приводит к обезвоживанию организма и шоку. Тяжелая форма холеры без соответствующего лечения может привести к летальному исходу в течение нескольких часов.
 </p>
</div>
"
